codigo;usuario;material;valor_propuesto;fechapropuesta
561389;frojas;-;1;29-09-2025
561808;frojas;-;1;29-09-2025
562557;frojas;-;1;29-09-2025
562707;frojas;-;1;29-09-2025
2026493;frojas;-;1;29-09-2025
1956571;frojas;-;1;29-09-2025
2266070;frojas;-;1;29-09-2025
2296445;frojas;-;1;30-09-2025
2307363;frojas;-;1;30-09-2025
844914;frojas;-;1;30-09-2025
560733;frojas;-;1;30-09-2025
2393505;frojas;-;1;30-09-2025
796338;frojas;-;1;30-09-2025
2311088;frojas;-;1;30-09-2025
2353689;frojas;-;1;30-09-2025
816520;frojas;-;1;30-09-2025
848091;frojas;-;1;30-09-2025
563190;frojas;-;1;30-09-2025
560403;frojas;-;1;30-09-2025
562143;frojas;-;1;30-09-2025
706715;frojas;-;1;30-09-2025
562779;frojas;-;1;30-09-2025
995243;frojas;-;1;01-10-2025
2222522;frojas;-;1;01-10-2025
1856031;frojas;-;1;01-10-2025
2305356;frojas;-;1;01-10-2025
1428510;frojas;-;1;01-10-2025
563597;frojas;-;1;01-10-2025
2210456;frojas;-;1;01-10-2025
2353916;frojas;-;1;01-10-2025
814513;frojas;-;1;01-10-2025
1989982;frojas;-;1;01-10-2025
1373137;frojas;-;1;01-10-2025
2210612;frojas;-;1;01-10-2025
1373289;frojas;-;1;01-10-2025
1601067;frojas;-;1;01-10-2025
2206916;frojas;-;1;01-10-2025
797234;frojas;-;1;02-10-2025
2059050;frojas;-;1;02-10-2025
2027939;frojas;-;1;02-10-2025
2427002;frojas;-;1;02-10-2025
2311110;frojas;-;1;02-10-2025
773143;frojas;-;1;02-10-2025
2314705;frojas;-;1;02-10-2025
561988;frojas;-;1;02-10-2025
2274531;frojas;-;1;02-10-2025
2265164;frojas;-;1;02-10-2025
1718301;frojas;-;1;02-10-2025
563126;frojas;-;1;02-10-2025
2286598;frojas;-;1;02-10-2025
1692621;frojas;-;1;02-10-2025
2332496;frojas;-;1;02-10-2025
2261248;frojas;-;1;03-10-2025
2106466;frojas;-;1;03-10-2025
788238;frojas;-;1;03-10-2025
1621871;frojas;-;1;03-10-2025
2005426;frojas;-;1;03-10-2025
2168078;frojas;-;1;03-10-2025
728587;frojas;-;1;03-10-2025
2255906;frojas;-;1;03-10-2025
2164068;frojas;-;1;03-10-2025
829389;frojas;-;1;03-10-2025
2303407;frojas;-;1;03-10-2025
1916932;frojas;-;1;03-10-2025
2260885;frojas;-;1;03-10-2025
2227297;frojas;-;1;03-10-2025
2151600;frojas;-;1;03-10-2025
1421793;mcarvajal;-;1;29-09-2025
2241898;mcarvajal;-;1;29-09-2025
978880;mcarvajal;-;1;29-09-2025
1439918;mcarvajal;-;1;29-09-2025
556694;mcarvajal;-;1;29-09-2025
1706075;mcarvajal;-;1;29-09-2025
2273805;mcarvajal;-;1;29-09-2025
1964948;mcarvajal;-;1;29-09-2025
555594;mcarvajal;-;1;29-09-2025
2361197;mcarvajal;-;1;29-09-2025
556739;mcarvajal;-;1;29-09-2025
898636;mcarvajal;-;1;29-09-2025
556889;mcarvajal;-;1;29-09-2025
1923237;mcarvajal;-;1;29-09-2025
1640499;mcarvajal;-;1;29-09-2025
1658924;mcarvajal;-;1;30-09-2025
1813402;mcarvajal;-;1;30-09-2025
553980;mcarvajal;-;1;30-09-2025
705789;mcarvajal;-;1;30-09-2025
2214552;mcarvajal;-;1;30-09-2025
1679527;mcarvajal;-;1;30-09-2025
554914;mcarvajal;-;1;30-09-2025
2156465;mcarvajal;-;1;30-09-2025
855225;mcarvajal;-;1;30-09-2025
846300;mcarvajal;-;1;30-09-2025
557639;mcarvajal;-;1;30-09-2025
920883;mcarvajal;-;1;30-09-2025
1418823;mcarvajal;-;1;30-09-2025
1435535;mcarvajal;-;1;30-09-2025
1845832;mcarvajal;-;1;30-09-2025
1990935;mcarvajal;-;1;01-10-2025
774501;mcarvajal;-;1;01-10-2025
699188;mcarvajal;-;1;01-10-2025
1673390;mcarvajal;-;1;01-10-2025
1357585;mcarvajal;-;1;01-10-2025
2251949;mcarvajal;-;1;01-10-2025
1872494;mcarvajal;-;1;01-10-2025
1681944;mcarvajal;-;1;01-10-2025
1469580;mcarvajal;-;1;01-10-2025
557567;mcarvajal;-;1;01-10-2025
2065933;mcarvajal;-;1;01-10-2025
1702102;mcarvajal;-;1;01-10-2025
884192;mcarvajal;-;1;01-10-2025
788731;mcarvajal;-;1;01-10-2025
1604227;mcarvajal;-;1;01-10-2025
834076;mcarvajal;-;1;02-10-2025
1319503;mcarvajal;-;1;02-10-2025
554525;mcarvajal;-;1;02-10-2025
2219241;mcarvajal;-;1;02-10-2025
2339406;mcarvajal;-;1;02-10-2025
748597;mcarvajal;-;1;02-10-2025
1747607;mcarvajal;-;1;02-10-2025
2320155;mcarvajal;-;1;02-10-2025
2343709;mcarvajal;-;1;02-10-2025
715907;mcarvajal;-;1;02-10-2025
1387600;mcarvajal;-;1;02-10-2025
556081;mcarvajal;-;1;02-10-2025
2267668;mcarvajal;-;1;02-10-2025
1379115;mcarvajal;-;1;02-10-2025
1302011;mcarvajal;-;1;02-10-2025
700437;mcarvajal;-;1;03-10-2025
2259449;mcarvajal;-;1;03-10-2025
1678128;mcarvajal;-;1;03-10-2025
1758317;mcarvajal;-;1;03-10-2025
1963931;mcarvajal;-;1;03-10-2025
555493;mcarvajal;-;1;03-10-2025
555266;mcarvajal;-;1;03-10-2025
556967;mcarvajal;-;1;03-10-2025
557440;mcarvajal;-;1;03-10-2025
553828;mcarvajal;-;1;03-10-2025
1855494;mcarvajal;-;1;03-10-2025
2235246;mcarvajal;-;1;03-10-2025
556503;mcarvajal;-;1;03-10-2025
2227424;mcarvajal;-;1;03-10-2025
838245;mcarvajal;-;1;03-10-2025
1394171;mpacheco;-;1;29-09-2025
2205644;mpacheco;-;1;29-09-2025
2116298;mpacheco;-;1;29-09-2025
2202507;mpacheco;-;1;29-09-2025
1862825;mpacheco;-;1;29-09-2025
2288954;mpacheco;-;1;29-09-2025
1647743;mpacheco;-;1;29-09-2025
2313125;mpacheco;-;1;29-09-2025
1952764;mpacheco;-;1;29-09-2025
2209865;mpacheco;-;1;29-09-2025
529691;mpacheco;-;1;29-09-2025
848214;mpacheco;-;1;29-09-2025
2208433;mpacheco;-;1;29-09-2025
876981;mpacheco;-;1;29-09-2025
2272532;mpacheco;-;1;29-09-2025
1655889;mpacheco;-;1;30-09-2025
2351696;mpacheco;-;1;30-09-2025
1539246;mpacheco;-;1;30-09-2025
1363475;mpacheco;-;1;30-09-2025
2305166;mpacheco;-;1;30-09-2025
1569959;mpacheco;-;1;30-09-2025
2280041;mpacheco;-;1;30-09-2025
904608;mpacheco;-;1;30-09-2025
1673350;mpacheco;-;1;30-09-2025
2398326;mpacheco;-;1;30-09-2025
2285458;mpacheco;-;1;30-09-2025
2346591;mpacheco;-;1;30-09-2025
2397791;mpacheco;-;1;30-09-2025
931651;mpacheco;-;1;30-09-2025
2332371;mpacheco;-;1;30-09-2025
1870230;mpacheco;-;1;01-10-2025
2291501;mpacheco;-;1;01-10-2025
2335758;mpacheco;-;1;01-10-2025
2252261;mpacheco;-;1;01-10-2025
1354345;mpacheco;-;1;01-10-2025
2156991;mpacheco;-;1;01-10-2025
2028737;mpacheco;-;1;01-10-2025
2305091;mpacheco;-;1;01-10-2025
2256580;mpacheco;-;1;01-10-2025
2311115;mpacheco;-;1;01-10-2025
1798297;mpacheco;-;1;01-10-2025
530053;mpacheco;-;1;01-10-2025
1571829;mpacheco;-;1;01-10-2025
2331209;mpacheco;-;1;01-10-2025
2102438;mpacheco;-;1;01-10-2025
531248;mpacheco;-;1;02-10-2025
1843459;mpacheco;-;1;02-10-2025
2213655;mpacheco;-;1;02-10-2025
2278151;mpacheco;-;1;02-10-2025
2148461;mpacheco;-;1;02-10-2025
2343457;mpacheco;-;1;02-10-2025
1666821;mpacheco;-;1;02-10-2025
2042795;mpacheco;-;1;02-10-2025
531226;mpacheco;-;1;02-10-2025
1654549;mpacheco;-;1;02-10-2025
2042567;mpacheco;-;1;02-10-2025
2331974;mpacheco;-;1;02-10-2025
1599657;mpacheco;-;1;02-10-2025
2221403;mpacheco;-;1;02-10-2025
2261453;mpacheco;-;1;02-10-2025
898724;mpacheco;-;1;03-10-2025
870657;mpacheco;-;1;03-10-2025
2197200;mpacheco;-;1;03-10-2025
780883;mpacheco;-;1;03-10-2025
2341432;mpacheco;-;1;03-10-2025
1431131;mpacheco;-;1;03-10-2025
2233202;mpacheco;-;1;03-10-2025
2419453;mpacheco;-;1;03-10-2025
2087252;mpacheco;-;1;03-10-2025
893651;mpacheco;-;1;03-10-2025
1692931;mpacheco;-;1;03-10-2025
1471919;mpacheco;-;1;03-10-2025
2277140;mpacheco;-;1;03-10-2025
1332044;mpacheco;-;1;03-10-2025
2198203;mpacheco;-;1;03-10-2025
1307976;rvergara;-;1;29-09-2025
2326536;rvergara;-;1;29-09-2025
2318817;rvergara;-;1;29-09-2025
880806;rvergara;-;1;29-09-2025
2213852;rvergara;-;1;29-09-2025
2223708;rvergara;-;1;29-09-2025
588176;rvergara;-;1;29-09-2025
700595;rvergara;-;1;29-09-2025
2296792;rvergara;-;1;29-09-2025
1323444;rvergara;-;1;29-09-2025
2210471;rvergara;-;1;29-09-2025
2273558;rvergara;-;1;29-09-2025
2141263;rvergara;-;1;29-09-2025
2237278;rvergara;-;1;29-09-2025
587705;rvergara;-;1;29-09-2025
2043377;rvergara;-;1;30-09-2025
859364;rvergara;-;1;30-09-2025
587287;rvergara;-;1;30-09-2025
588081;rvergara;-;1;30-09-2025
599409;rvergara;-;1;30-09-2025
924946;rvergara;-;1;30-09-2025
586652;rvergara;-;1;30-09-2025
588713;rvergara;-;1;30-09-2025
2181240;rvergara;-;1;30-09-2025
587455;rvergara;-;1;30-09-2025
2286047;rvergara;-;1;30-09-2025
2233420;rvergara;-;1;30-09-2025
588460;rvergara;-;1;30-09-2025
2094726;rvergara;-;1;30-09-2025
587405;rvergara;-;1;30-09-2025
2253966;rvergara;-;1;01-10-2025
615950;rvergara;-;1;01-10-2025
991235;rvergara;-;1;01-10-2025
590031;rvergara;-;1;01-10-2025
587840;rvergara;-;1;01-10-2025
1865521;rvergara;-;1;01-10-2025
795261;rvergara;-;1;01-10-2025
588441;rvergara;-;1;01-10-2025
1359039;rvergara;-;1;01-10-2025
589670;rvergara;-;1;01-10-2025
726030;rvergara;-;1;01-10-2025
2271648;rvergara;-;1;01-10-2025
2335149;rvergara;-;1;01-10-2025
875473;rvergara;-;1;01-10-2025
1421662;rvergara;-;1;01-10-2025
997306;rvergara;-;1;02-10-2025
778656;rvergara;-;1;02-10-2025
1761551;rvergara;-;1;02-10-2025
712359;rvergara;-;1;02-10-2025
588385;rvergara;-;1;02-10-2025
2244876;rvergara;-;1;02-10-2025
2210605;rvergara;-;1;02-10-2025
586734;rvergara;-;1;02-10-2025
2094649;rvergara;-;1;02-10-2025
918893;rvergara;-;1;02-10-2025
588593;rvergara;-;1;02-10-2025
875472;rvergara;-;1;02-10-2025
2100462;rvergara;-;1;02-10-2025
587227;rvergara;-;1;02-10-2025
1928574;rvergara;-;1;02-10-2025
927711;rvergara;-;1;03-10-2025
2196944;rvergara;-;1;03-10-2025
589231;rvergara;-;1;03-10-2025
589141;rvergara;-;1;03-10-2025
1604362;rvergara;-;1;03-10-2025
2034460;rvergara;-;1;03-10-2025
2036349;rvergara;-;1;03-10-2025
1385540;rvergara;-;1;03-10-2025
723222;rvergara;-;1;03-10-2025
