CODIGO,NOMBRE,DIRECCION,DISTRITO,ZONA,FECHA VISITA,¿HAY COOLER CON NUEVA CENEFA?,CANTIDAD DE PUERTAS,HAY PRESENCIA DE RB EN ALGUNA DE LAS PUERTAS,FULL BANDEJA EJECUTADA,FOTO CCU,NUMERO DE FOTO
1358911,(ALMACEN) MANUEL. N. COM. ALIMENTOS PPREPARAD,"CAM. VILLARRICA -PUCON KM 11,4 MOLCO BAJO",TEMUCO/VALDIVIA,SUR,2025-12-11 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-11/pregunta_32647/qfoto_693b38b6a10340.72641314.webp,1
2195055,(ALMACEN) VANIA LAGOS PADILLA,IGNACIO CARRERA PINTO PARCELA 30 A,VESPUCIO,CENTRO,2025-12-11 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-11/pregunta_32647/qfoto_693b3c0a508f71.30662392.webp,1
2195055,(ALMACEN) VANIA LAGOS PADILLA,IGNACIO CARRERA PINTO PARCELA 30 A,VESPUCIO,CENTRO,2025-12-11 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-11/pregunta_32647/qfoto_693b3c2090a419.47996775.webp,2
2195055,(ALMACEN) VANIA LAGOS PADILLA,IGNACIO CARRERA PINTO PARCELA 30 A,VESPUCIO,CENTRO,2025-12-11 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-11/pregunta_32647/qfoto_693b3c3ce0c310.90907205.webp,3
2250527,(ALMACEN) C.& D. SPA,"Calle Paso Mamuil Malal1555, Villarrica",TEMUCO/VALDIVIA,SUR,2025-12-11 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-11/pregunta_32647/qfoto_693b29bfae9715.27806481.webp,1
2252893,VICTOR CARES SANDOVAL,"CALLE CENTRAL 1230, SAN IGNACIO",CHILLAN/LOS ANGELES,CENTRO SUR,2025-12-11 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-11/pregunta_32647/qfoto_693b1eafd11728.12576517.webp,1
2252893,VICTOR CARES SANDOVAL,"CALLE CENTRAL 1230, SAN IGNACIO",CHILLAN/LOS ANGELES,CENTRO SUR,2025-12-11 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-11/pregunta_32647/qfoto_693b1eb187bfa7.74180761.webp,2
1624609,MOISES SAAVEDRA MAQUIN,"AV ISABEL CATOLICA 6109, LAS CONDES",MODELO,CENTRO,2025-12-06 00:00:00,SI,3,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_693438616720a3.24072989.webp,1
1624609,MOISES SAAVEDRA MAQUIN,"AV ISABEL CATOLICA 6109, LAS CONDES",MODELO,CENTRO,2025-12-06 00:00:00,SI,3,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6934386cefa4a0.84662128.webp,2
2205814,(ALMACEN) LUIS ALEJANDRO VALENZUELA RAMIREZ,LOS RETAMOS 5610,VESPUCIO,CENTRO,2025-12-06 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_693480c05862f9.61760397.webp,1
2205814,(ALMACEN) LUIS ALEJANDRO VALENZUELA RAMIREZ,LOS RETAMOS 5610,VESPUCIO,CENTRO,2025-12-06 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_693480e2656259.90841684.webp,2
645755,(ALMACEN) GUILLERMINA GUZMAN R,"CAM. CIRCUNVALACION NORTE 1227, LO BARNECHEA",MODELO,CENTRO,2025-12-06 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_69341feff21929.97372640.webp,1
645755,(ALMACEN) GUILLERMINA GUZMAN R,"CAM. CIRCUNVALACION NORTE 1227, LO BARNECHEA",MODELO,CENTRO,2025-12-06 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6934206e372069.48850763.webp,2
645755,(ALMACEN) GUILLERMINA GUZMAN R,"CAM. CIRCUNVALACION NORTE 1227, LO BARNECHEA",MODELO,CENTRO,2025-12-06 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_693420c49de0c2.67136035.webp,3
650239,LUIS FIDEL ESPINOZA FLORES,"EL ESFUERZO 14159, LO BARNECHEA",MODELO,CENTRO,2025-12-06 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_693430f9a4ae50.73828259.webp,1
650239,LUIS FIDEL ESPINOZA FLORES,"EL ESFUERZO 14159, LO BARNECHEA",MODELO,CENTRO,2025-12-06 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6934310be77055.47714791.webp,2
650239,LUIS FIDEL ESPINOZA FLORES,"EL ESFUERZO 14159, LO BARNECHEA",MODELO,CENTRO,2025-12-06 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_69343147c37e40.17051034.webp,3
650239,LUIS FIDEL ESPINOZA FLORES,"EL ESFUERZO 14159, LO BARNECHEA",MODELO,CENTRO,2025-12-06 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6934315c116e17.31573741.webp,4
1649754,(ALMACEN) COM.HECTOR ANDRES ALBRECHT LARA EIR,LOMA REDONDA UNO SUR 7773,LA FLORIDA,CENTRO,2025-12-05 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_69331cc852ae18.23633816.webp,1
1649754,(ALMACEN) COM.HECTOR ANDRES ALBRECHT LARA EIR,LOMA REDONDA UNO SUR 7773,LA FLORIDA,CENTRO,2025-12-05 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_69331ccf3f8a43.28978089.webp,2
2195507,(ALMACEN) PANADERIA EL HALLULLAZO LIMITADA,"General Basilio Urrutia221, Villarrica",TEMUCO/VALDIVIA,SUR,2025-12-05 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6932f61ece74d5.84468471.webp,1
2195507,(ALMACEN) PANADERIA EL HALLULLAZO LIMITADA,"General Basilio Urrutia221, Villarrica",TEMUCO/VALDIVIA,SUR,2025-12-05 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6932f62490fdd5.44842874.webp,2
2264193,(ALMACEN) CECILIA ANGELICA GOMEZ CASTILLO,"Pedro de Valdivia298, Villarrica",TEMUCO/VALDIVIA,SUR,2025-12-05 00:00:00,SI,3,SI,NO,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6933283d235c24.39992559.webp,1
2264193,(ALMACEN) CECILIA ANGELICA GOMEZ CASTILLO,"Pedro de Valdivia298, Villarrica",TEMUCO/VALDIVIA,SUR,2025-12-05 00:00:00,SI,3,SI,NO,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_693328431be686.58705389.webp,2
