nombreFormulario,fechaVisita,mesVisita,mesNumero,merchan,comunaLocal,SALASVISITADAS,SALASIMPLEMENTADAS,PLAYA,CAMPING,CASCO_URBANO,RURAL,EVENTO,SELL_OUT
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:00:21",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:00:58",April,4,grojas,RECOLETA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:03:51",April,4,grojas,RECOLETA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:05:59",April,4,grojas,RECOLETA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:08:09",April,4,grojas,RECOLETA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:10:22",April,4,grojas,RECOLETA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:15:38",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:17:05",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:18:44",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:21:24",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:23:03",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:26:45",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:28:10",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 16:33:20",April,4,jparedes,SANTIAGO,1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:43:28",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:44:12",April,4,grojas,RECOLETA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:45:03",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:46:30",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:47:46",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:48:13",April,4,grojas,RECOLETA,1,1,0,0,1,0,0,0
